Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-14 09:04:09,false,"Toronto Running","2.06","143","00:11:20","142","170","155","186","5:30","4:21","8","52","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:19.82","1","0.0","00:10:25","00:11:20","78","130"
Running,2021-10-13 17:48:53,false,"Toronto Running","5.96","434","00:30:18","155","186","169","188","5:05","3:48","3","7","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","30:17.63","1","0.0","00:29:33","00:30:18","75","82"
Running,2021-10-12 17:08:45,false,"Toronto Running","5.00","287","00:23:19","140","176","165","240","4:40","3:51","161","159","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","23:18.51","1","0.0","00:22:53","00:24:02","75","232"
Running,2021-10-11 11:43:30,false,"Toronto Running","1.01","77","00:07:11.1","128","141","158","174","7:07","4:45","--","2","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:11.14","1","0.0","00:06:47","00:07:50.1","81","85"
Running,2021-10-11 10:59:01,false,"Toronto Running","1.05","71","00:07:54.8","117","128","155","174","7:30","5:08","3","--","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:54.81","1","0.0","00:07:21","00:07:54.8","81","85"
Cycling,2021-10-10 23:03:46,false,"Toronto Cycling","1.61","70","00:09:14.4","109","129","--","--","10.4","25.1","14","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:14.41","1","0.0","00:06:19","00:09:14.4","86","100"
Running,2021-10-10 09:04:50,false,"Toronto Running","0.95","63","00:05:45.6","129","155","158","174","6:04","2:05","--","2","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:45.64","1","0.0","00:05:28","00:06:06.6","81","85"
Running,2021-10-10 08:39:57,false,"Toronto Running","1.21","82","00:08:40.2","119","141","142","176","7:10","5:16","4","--","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:40.16","1","0.0","00:07:43","00:08:40.2","81","85"
Running,2021-10-09 15:40:33,false,"Toronto Running","2.58","183","00:13:37","146","170","165","180","5:17","4:31","42","46","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:37.36","1","0.0","00:13:19","00:13:37","75","121"
Running,2021-10-08 17:13:52,false,"Toronto Running","1.01","74","00:06:50.5","127","146","161","175","6:46","3:17","263","267","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:50.48","1","0.0","00:06:36","00:06:55.0","80","196"
Running,2021-10-08 16:39:18,false,"Toronto Running","1.01","56","00:06:43.5","113","142","148","171","6:40","5:23","2","--","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:43.49","1","0.0","00:05:50","00:08:19.8","81","86"
Running,2021-10-07 16:52:54,false,"Toronto Running","4.44","295","00:24:36","139","178","151","195","5:33","3:20","201","200","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","24:36.34","1","0.0","00:22:26","00:24:36","75","276"
Running,2021-10-06 07:51:09,false,"Toronto Running","2.13","154","00:13:39","133","158","159","173","6:25","4:50","3","7","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:38.74","1","0.0","00:13:09","00:13:39","75","82"
Running,2021-10-05 07:39:32,false,"Toronto Running","2.90","190","00:14:08","147","164","156","178","4:52","3:46","3","6","1.31","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:07.88","1","0.0","00:13:12","00:14:29","75","82"
Running,2021-10-04 18:00:39,false,"Toronto Running","1.01","67","00:06:17.8","126","153","148","173","6:14","4:30","143","146","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:17.83","1","0.0","00:05:40","00:07:32.9","81","228"
Running,2021-10-04 16:49:40,false,"Toronto Running","1.20","73","00:08:23.5","113","132","136","176","7:01","2:32","2","--","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:23.52","1","0.0","00:07:27","00:08:24.3","81","119"
Running,2021-10-03 20:06:57,false,"Toronto Running","2.03","141","00:11:07","141","162","163","180","5:29","4:09","3","--","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:07.25","1","0.0","00:10:32","00:11:07","75","84"
Running,2021-10-02 08:16:36,false,"Trent Hills Running","2.01","154","00:12:12","141","165","160","184","6:05","5:20","5","--","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:12.28","1","0.0","00:11:45","00:12:12","185","192"
Running,2021-10-01 18:15:26,false,"Trent Hills Running","3.06","219","00:15:49","151","175","165","178","5:10","4:33","3","3","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","15:49.05","1","0.0","00:15:37","00:15:49","183","190"
Running,2021-09-30 18:49:35,false,"Toronto Running","3.06","234","00:16:39","154","185","163","177","5:26","4:33","3","85","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:39.30","1","0.0","00:16:17","00:16:39","75","160"
Running,2021-09-29 08:08:40,false,"Toronto Running","8.25","567","00:42:16","152","192","158","195","5:08","3:41","4","6","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","42:15.78","1","0.0","00:37:00","00:42:16","75","82"
Running,2021-09-28 08:17:47,false,"Toronto Running","2.05","123","00:12:53","121","137","158","176","6:17","4:59","3","5","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:52.95","1","0.0","00:12:07","00:12:53","75","82"
Running,2021-09-27 21:08:25,false,"Toronto Running","2.18","135","00:10:09","148","168","173","184","4:40","4:09","3","7","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:08.73","1","0.0","00:10:05","00:10:29","75","82"
Running,2021-09-26 10:16:17,false,"Toronto Running","2.10","146","00:13:20","131","156","161","174","6:21","4:43","3","7","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:19.52","1","0.0","00:12:59","00:13:20","75","82"
Running,2021-09-25 11:03:09,false,"Toronto Running","2.20","150","00:09:57.9","164","188","162","194","4:32","3:38","6","6","1.37","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:57.87","1","0.0","00:09:14","00:10:38","75","81"
Running,2021-09-24 17:47:49,false,"Toronto Running","5.92","400","00:29:16","152","181","167","190","4:57","3:43","3","6","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","29:15.84","1","0.0","00:27:40","00:29:45","70","81"
Running,2021-09-23 13:18:18,false,"Toronto Running","2.64","170","00:13:37","139","158","163","178","5:10","4:21","3","6","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:36.77","1","0.0","00:13:10","00:13:37","75","81"
Running,2021-09-22 07:45:56,false,"Toronto Running","2.01","143","00:11:19","141","178","163","176","5:37","0:32","--","5","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:19.23","1","0.0","00:00:00","00:11:19","75","82"
Running,2021-09-21 08:26:57,false,"Toronto Running","1.13","86","00:07:28.9","133","145","146","173","6:38","5:17","--","102","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:28.91","1","0.0","00:00:00","00:07:28.9","80","183"
Running,2021-09-21 07:47:28,false,"Toronto Running","0.96","78","00:07:42.2","122","140","143","171","8:03","5:18","5","--","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:42.20","1","0.0","00:00:00","00:07:42.2","82","87"
Running,2021-09-20 16:55:52,false,"Toronto Running","4.95","345","00:25:17","150","179","171","182","5:06","4:05","6","6","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","25:16.87","1","0.0","00:00:00","00:25:17","70","83"
Running,2021-09-19 18:42:46,false,"Toronto Running","3.12","190","00:19:07","124","146","158","174","6:08","4:01","3","6","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","19:07.43","1","0.0","00:00:00","00:19:38","75","81"
Running,2021-09-18 12:30:15,false,"Kawartha Lakes Running","3.35","207","00:22:13","120","137","157","174","6:38","5:46","11","12","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","22:13.10","1","0.0","00:00:00","00:32:25","259","273"
Running,2021-09-17 07:10:50,false,"Toronto Running","2.08","128","00:12:24","124","138","167","174","5:57","5:32","3","6","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:23.97","1","0.0","00:00:00","00:12:24","75","81"
Running,2021-09-16 08:10:23,false,"Toronto Running","2.24","131","00:13:23","122","138","159","220","5:59","4:28","3","7","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:23.22","1","0.0","00:00:00","00:13:23","75","82"
Running,2021-09-15 07:56:56,false,"Toronto Running","2.14","119","00:13:37","113","126","160","176","6:22","5:09","3","6","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:36.84","1","0.0","00:00:00","00:13:37","75","81"
Running,2021-09-14 17:14:00,false,"Toronto Running","4.46","296","00:21:33","151","177","168","186","4:50","4:03","3","6","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","21:32.74","1","0.0","00:00:00","00:21:34","75","81"
Running,2021-09-13 17:20:06,false,"Toronto Running","2.54","155","00:18:44","109","128","147","206","7:23","5:14","3","6","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","18:43.59","1","0.0","00:00:00","00:18:44","75","81"
Running,2021-09-12 09:01:18,false,"Toronto Running","5.18","331","00:29:09","132","152","165","176","5:38","5:02","3","7","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","29:09.09","1","0.0","00:00:00","00:29:09","69","82"
Running,2021-09-11 08:55:03,false,"Toronto Running","2.04","130","00:11:53","129","142","151","173","5:49","4:57","3","6","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:53.31","1","0.0","00:00:00","00:11:53","75","81"
Running,2021-09-10 16:16:16,false,"Toronto Running","4.46","297","00:21:40","150","179","171","190","4:51","4:01","18","21","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","21:40.03","1","0.0","00:00:00","00:22:35","75","89"
Running,2021-09-09 07:58:24,false,"Toronto Running","2.16","128","00:13:07","121","130","161","174","6:05","4:43","3","7","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:07.46","1","0.0","00:00:00","00:13:07","75","82"
Running,2021-09-08 16:51:57,false,"Toronto Running","2.27","159","00:12:33","141","166","147","176","5:32","4:22","7","2","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:32.56","1","0.0","00:00:00","00:12:33","78","87"
Running,2021-09-07 21:32:13,false,"Toronto Running","2.02","141","00:11:00","142","174","154","175","5:27","4:34","3","7","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:59.87","1","0.0","00:00:00","00:11:00","75","82"
Running,2021-09-06 09:02:16,false,"Toronto Running","5.25","348","00:25:36","148","177","170","182","4:53","3:59","6","8","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","25:36.11","1","0.0","00:00:00","00:25:36","76","121"
Running,2021-09-05 08:08:43,false,"Toronto Running","2.27","183","00:16:21","132","157","151","188","7:12","4:54","147","141","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:20.68","1","0.0","00:00:00","00:16:34","78","221"
Running,2021-09-04 20:52:15,false,"Toronto Running","2.63","169","00:16:53","125","141","157","188","6:25","3:35","3","7","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:53.35","1","0.0","00:00:00","00:16:53","75","82"
Running,2021-09-03 17:21:38,false,"Toronto Running","5.41","382","00:27:29","153","172","163","180","5:05","4:18","3","6","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","27:28.95","1","0.0","00:00:00","00:30:30","75","81"
Running,2021-09-02 07:51:17,false,"Toronto Running","2.91","188","00:18:24","126","145","161","175","6:20","4:45","3","6","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","18:23.96","1","0.0","00:00:00","00:18:24","75","81"
Running,2021-09-01 08:15:00,false,"Toronto Running","1.03","69","00:06:09.4","130","150","163","171","5:58","4:52","66","71","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:09.42","1","0.0","00:00:00","00:06:09.4","81","153"
Running,2021-09-01 07:44:55,false,"Toronto Running","1.08","72","00:07:00.9","124","139","157","173","6:30","5:08","56","51","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:00.89","1","0.0","00:00:00","00:07:00.9","82","133"
Running,2021-08-31 07:52:56,false,"Toronto Running","2.64","172","00:14:48","133","158","157","182","5:36","4:14","6","6","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:48.14","1","0.0","00:00:00","00:14:48","75","81"
Running,2021-08-30 17:26:45,false,"Toronto Running","2.06","124","00:12:51","121","135","154","171","6:14","5:35","6","3","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:51.02","1","0.0","00:00:00","00:12:51","78","86"
